,img?,品名,品番1,品番2,税別価格1,税別価格2,url,url,説明文,カタカナ,品番3,税別価格3,url3,page,
1,,BAUME&MERCIER,M0A10323 ,,"¥105,000",,,,1830年創立、歴史と伝統を誇るスイスの老舗時計ブランド。メゾンのアーカイブに保存されていた1940年の作品にインスピレーションを得た「クラシマ」コレクションは、ミニマリズムを追及したデザイン。上品でエレガント、控えめなスタイルが魅力の一点。,ボーム＆メルシエ,,,,gentle,URLは取り扱いなしです。
2,,TISSOT,Ｔ1204071705100,,"¥80,000",,,,1950年代に発表されたシースターの名を受け継ぐダイバーズウオッチ。日本限定モデルは、高級感のあるキャンバス素材のストラップの芯にラバー素材を用い、優れた防水性と機能美を兼ね備えている。(機械式自動巻、30気圧防水、セラミック製逆回転防止ベゼル、),ティソ,,,,gentle,
3,,CALVIN KLEIN WATCHES,K7B211C1,,"¥25,000",,https://www.neuve-a.net/TiCTAC/shop/g/g7612635102672/,,"ニューヨーク屈指のファッションブランドが発信するクリーンでミニマルなデザイン。スイス製ETA社製ムーブメントを搭載。シンプルなフォルムと律動的でナチュラルなルックス、広がる大自然の中にあふれる不思議な質感から着想したダイヤルが美しい。
※ロゴ変更移行期間のため製品のロゴが写真と異なる場合がございます。",カルバン・クライン　ウォッチ,,,,gentle,
4,,Paul Smith,BH2-049-51,,"¥40,000",,https://www.neuve-a.net/TiCTAC/shop/g/g4974375478688/,,ヴィンテージカメラからインスピレーションを得たスタイリッシュなデザイン。ひねりのあるクラシックをコンセプトに、差し色の針でポール・スミスらしい遊び心を表現。時計の裏側は写真を現像する暗室をイメージ、ブラックIPに赤い電球が描かれている。,ポール・スミス,,,,gentle,
5,,SEIKO PRESAGE,SARY095,,"¥58,000",,https://www.neuve-a.net/TiCTAC/shop/g/g4954628448538/,,100年を超える機械式時計の正統。水を表現した枯山水の砂紋を模したダイヤル、シンプルながらも風格漂う佇まいが魅力。無駄をそぎ落としたものこそがより豊かである、という、日本特有の「わびさび」の世界観を上品に印象づける一点だ。( 機械式自動巻),セイコー プレサージュ,,,,gentle,
6,,CITIZEN ATTESA ,AT8040-57E,,"¥100,000",,https://www.neuve-a.net/TiCTAC/shop/g/g4974375442344/,,腕時計のネクストスタンダートとなるべく進化を続けているビジネスウオッチ。世界４エリアの電波送信所に対応する多局受信型電波時計。10万年に 1秒の誤差と言われる原子時計の標準電波を自動的に受信し、正しい時刻やカレンダーに修正する。(ソーラー電波),シチズン アテッサ,,,,gentle,
7,,HAMILTON,H32705141,,"¥119,000",,https://www.neuve-a.net/TiCTAC/shop/g/g7640167042685/,,1892年アメリカで創立、時計史に残る数々の名作を生み出してきた歴史あるブランド「ハミルトン」。身に着けるだけで自信につながる洗練されたデザインが魅力。オープンハートスタイルのダイヤルからムーブメントの動きを見て楽しめる。 (機械式自動巻),ハミルトン,,,,gentle,
8,img,,,,,,,,,,,,,gentle,
9,,OROBIANCO,OR0070-9,,"¥29,000",,https://www.neuve-a.net/TiCTAC/shop/g/g4550084773049/,,型押しレザーストラップが高級感たっぷりのスタイリッシュなカレンダー付クロノグラフ。上品で洗練されたシンプルデザイン、たまねぎ型のリューズやドーム型の風防がレトロな味わいを演出、ヴィンテージウォッチのような趣を加えている。,オロビアンコ,,,,gentle,
10,,Movement in Motion,MIM-OH04-PG/RE,,"¥25,000",,https://www.neuve-a.net/TiCTAC/shop/g/g2700001610106/,,文字盤の小窓から機械の駆動が楽しめるオープンハートスタイルに、型押しレザーストラップを合わせた高級感ある仕様。砂紋を描くダイヤルやアプライドインデックス、ドーム型風防など、ディテールもこだわっている。TiCTACオリジナル。(機械式自動巻、10気圧防水),ムーブメント・イン・モーション,,,,gentle,
