,img?,品名,品番1,品番2,税別価格1,税別価格2,url,url,説明文,カタカナ,品番3,税別価格3,url3,page
1,,Movement in Motion & SPICA ,MIM-CRC-RY/NV-LIMI,SPI50-RY/NV-LIMI,"¥30,000","¥30,000",https://www.neuve-a.net/TiCTAC/shop/g/g2700001602835/,https://www.neuve-a.net/TiCTAC/shop/g/g2700001602965/,落ち着いたカラーリングと上質な素材感が大人な手元を演出する、シックで知的なペアモデル。オーセンティックなデザインはフォーマルなシーンにもマッチします。TiCTACオリジナル。(ソーラー電波、メンズ:10気圧防水),ムーブメント・イン・モーション＆スピカ,,,,youme
2,img,,,,,,,,,,,,,youme
3,,Movement in Motion & SPICA ,MIM-CRC-RY/NV-LIMI,SPI50-RY/NV-LIMI,"¥18,000","¥18,000",https://www.neuve-a.net/TiCTAC/shop/g/g2700001610441/,https://www.neuve-a.net/TiCTAC/shop/g/g2700001610458/,月の満ち欠けがわかるムーンフェイズ表示が付いたロマンチックなペアモデル。「今夜の月はどんなカタチ？」二人の会話が弾みそうです。各100点限定。TiCTACオリジナル。,ムーブメント・イン・モーション＆スピカ,,,,youme
4,,Movement in Motion & SPICA ,MIM-DP/SSIV-R,SPI51-DP/PGIV-R,"¥18,000","¥18,000",,,"老若男女に愛され続けるディズニーのミッキーとミニーのカップルがペアウォッチに。12時位置の秒針は、なんと二人の尻尾。秒を刻んでくるくる回ります。裏ブタにも楽しい仕掛けが。TiCTACオリジナル。
©Disney",ムーブメント・イン・モーション＆スピカ,,,,youme
5,,MASTER WORKS,MW08YG1-FDDBO81,MW06YG1-ECDBO81,"¥38,000","¥20,000",,,イタリア・ボローニャ製のハンドメイドレザーなど、世界中の職人達が生み出す優れた素材を採用した注目ブランド。TiCTAC別注モデルには2色のレザーストラップが付属します。（左：機械式自動巻）,マスターワークス,,,,youme
6,img,,,,,,,,,,,,,youme
7,img,,,,,,,,,,,,,youme
8,,DANISH DESIGN,IQ41Q858,IV40Q858,"¥16,000","¥16,000",https://www.neuve-a.net/TiCTAC/shop/g/g4560204343878/,https://www.neuve-a.net/TiCTAC/shop/g/g4560204343885/,日本ではTiCTACが独占販売しているダニッシュデザイン。毎日愛用できる定番のアイテムとして、さりげなくライフスタイルに調和する北欧スタイル。デンマークの自然を思わせるシンプルモダンなデザインが魅力です。,ダニッシュデザイン,,,,youme
9,,DUFA ,DF-9001-SETA-01,DF-7001-SETA-01,"¥40,000","¥40,000",https://www.neuve-a.net/TiCTAC/shop/g/g4550012151260/,https://www.neuve-a.net/TiCTAC/shop/g/g4550012151277/,クロックの製造で有名なドイツの老舗ブランド。ミニマルで美しいジャーマンデザイン、シックなグレーダイヤルに、ボルドーと濃緑のベルトが付いたTiCTAC別注モデル。,ドゥッファ,,,,youme
10,,SKAGEN , SKW6489,SKW2745  ,"¥19,000","¥21,000",https://www.neuve-a.net/TiCTAC/shop/g/g4549097844211/,https://www.neuve-a.net/TiCTAC/shop/g/g4549097848769/,"北欧デンマークの美しく機能的な腕時計、スカーゲン。クラシックなデンマークデザイン
にインスパイアされたスタイル。薄型ケースと滑らかなレザーストラップで、軽く着け心地も抜群です。
",スカーゲン,,,,youme
